S2G ID,Fecha,energy_main(kWh),Ventas,Invitados,intensidad_kWh_invitado,ticket_promedio_MXN_invitado,Nombre,Zona_CMR
CH55,17/08/2019,606.2177,54406,232,2.613007328,234.5086,Tlaxcala,TLX
CH56,17/08/2019,867.1204,43986,186,4.661937634,236.4839,Tuxtla II,CP
CH57,17/08/2019,472.2393,18636,93,5.077841935,200.3871,Silao,GTO
CH58,17/08/2019,765.9215,39111,167,4.586356287,234.1976,Chihuahua III,CHI
CH59,17/08/2019,864.796,34916,177,4.885853107,197.2655,Apodaca II,MTY
CH62,17/08/2019,608.679,26698,128,4.755304688,208.5781,Chili's Ciudadela,GDL
CH63,17/08/2019,920.646,72773,351,2.622923077,207.3305,Galerías Celaya,GTO
CH64,17/08/2019,405.062,39834,187,2.166106952,213.016,Chili's Plaza Aurora,MTY
WIN01,17/08/2019,961.399,78743,459,2.094551198,171.5534,Wing's Boulevard,CDMX
ELA01,17/08/2019,1853.691,166171,328,5.651496951,506.6189,Restaurante El Lago,CDMX
OLG01,17/08/2019,1000.943,51632,197,5.080928934,262.0914,Olive Garden Reforma,CDMX
OLG02,17/08/2019,844.077,53581,237,3.561506329,226.0802,Olive Garden Santa Fe,CDMX
OLG03,17/08/2019,1496.6789,86619,384,3.897601302,225.5703,Olive Garden Cancún,YUC
OLG04,17/08/2019,1056.537,82052,344,3.071328488,238.5233,Olive Garden Querétaro,QRO
TCG01,17/08/2019,1464.139,89358,95,15.41198947,940.6105,The Capital Grille,CDMX
TCG02,17/08/2019,2207.976,62974,69,31.99965217,912.6667,The Capital Grille Mty,MTY
DT01,17/08/2019,890.714,61118,119,7.484991597,513.5966,Destilería Cancún,YUC
DT02,17/08/2019,471.329,27334,81,5.818876543,337.4568,Destilería Reforma,CDMX
CH01,18/08/2019,1101.2512,112593,539,2.043137662,208.8924,Aguascalientes I,AGS
CH02,18/08/2019,738.2186,40041,216,3.417678704,185.375,Aguascalientes II,AGS
CH03,18/08/2019,1590.713,55168,253,6.287403162,218.0553,Apodaca,MTY
CH04,18/08/2019,932.5682,69905,392,2.37900051,178.3291,Centro Magno,GDL
CH05,18/08/2019,1038.6035,60894,345,3.010444928,176.5043,Chihuahua I,CHI
CH06,18/08/2019,813.9097,82321,370,2.199755946,222.4892,Chihuahua II,CHI
CH07,18/08/2019,1328.503,77781,371,3.58087062,209.6523,Churubusco,MTY
CH08,18/08/2019,1343.993,56286,327,4.110070336,172.1284,Cintermex,MTY
CH09,18/08/2019,744.8488,16691,86,8.661032558,194.0814,Ciudad del Carmen,CAM
CH10,18/08/2019,1445.79,87926,459,3.149869281,191.5599,Contry,MTY
CH11,18/08/2019,843.4575,49166,218,3.869071101,225.5321,El Salto,GDL
CH12,18/08/2019,1343.0345,42792,167,8.042122754,256.2395,Forum Cancún,CUN
CH13,18/08/2019,907.0848,90010,441,2.056881633,204.1043,Forum Tepic,TEP
CH14,18/08/2019,1289.0005,91752,459,2.808279956,199.8954,Forum Tlaquepaque,GDL
CH15,18/08/2019,1064.6889,146459,770,1.382712857,190.2065,Galerías Gdl,GDL
CH16,18/08/2019,1316.498,132119,711,1.851614627,185.8214,Galerías Mty,MTY
CH17,18/08/2019,689.7818,112129,552,1.24960471,203.1322,Puerto Vallarta,JAL
CH18,18/08/2019,1162.2266,102793,532,2.184636466,193.2199,Gran Plaza,GDL
CH20,18/08/2019,1137.5451,143303,764,1.488933377,187.5694,León I,GTO
CH21,18/08/2019,866.3338,47870,269,3.220571747,177.9554,León II,GTO
CH22,18/08/2019,940.458,99113,516,1.822593023,192.0795,León III,GTO
CH23,18/08/2019,1792.5322,124795,632,2.836285127,197.4604,Malecón Cancún,CUN
CH25,18/08/2019,653.7597,53437,276,2.368694565,193.6123,Morelia,MIC
CH26,18/08/2019,1257.2333,151474,771,1.630652789,196.4643,Plaza Andares,GDL
CH27,18/08/2019,393.7683,77798,438,0.899014384,177.621,Plaza del Sol,GDL
CH28,18/08/2019,1584.022,84309,470,3.370259574,179.3809,Plaza La Rioja,MTY
CH29,18/08/2019,821.883,113256,588,1.397760204,192.6122,Plaza San Agustín,MTY
CH30,18/08/2019,1321.6679,49431,256,5.162765234,193.0898,Reynosa,REY
CH31,18/08/2019,1130.184,47454,224,5.045464286,211.8482,Saltillo,SAL
CH32,18/08/2019,565.6129,43164,338,1.673410947,127.7041,San Luis Potosí I,SLP
CH33,18/08/2019,549.905,48835,297,1.851531987,164.4276,San Luis Potosí II,SLP
CH35,18/08/2019,776.8985,41778,255,3.046660784,163.8353,Santa Anita,GDL
CH36,18/08/2019,1455.628,67316,396,3.675828283,169.9899,Sendero,MTY
CH38,18/08/2019,589.2346,50837,293,2.01103959,173.5051,Tijuana II,TIJ
CH39,18/08/2019,1250.8268,100149,502,2.491686853,199.5,Torreón I,TOR
CH40,18/08/2019,1496.441,109156,611,2.449166939,178.6514,Torres,MTY
CH41,18/08/2019,1070.2273,29897,136,7.869318382,219.8309,Tuxtla Gutiérrez,CP
CH42,18/08/2019,1272.3345,111274,517,2.460995164,215.2302,Xalapa Las Américas,VER
CH44,18/08/2019,1348.188,79700,374,3.604780749,213.1016,Tampico,TAM
CH45,18/08/2019,1194.9451,117366,549,2.176584882,213.7814,Torreón II,TOR
CH46,18/08/2019,1399.14,115967,603,2.320298507,192.3167,Anáhuac,MTY
CH47,18/08/2019,1065.696,66506,359,2.968512535,185.2535,Avanta,MTY
CH49,18/08/2019,1274.0602,30318,178,7.157641573,170.3258,Mérida,YUC
CH50,18/08/2019,1409.4497,108220,586,2.405204266,184.6758,Mérida Altabrisa,YUC
CH51,18/08/2019,749.2336,132764,719,1.042049513,184.6509,Mérida Galerías,YUC
CH52,18/08/2019,1690.8525,62152,353,4.789950425,176.068,Veracruz Boca del Río,VER
CH53,18/08/2019,1315.872,39268,248,5.305935484,158.3387,Villahermosa,TAB
CH54,18/08/2019,1380.4143,80113,428,3.225267056,187.1799,Villahermosa II,TAB
CH55,18/08/2019,481.2015,51741,226,2.129210177,228.9425,Tlaxcala,TLX
CH56,18/08/2019,894.1757,68178,308,2.903167857,221.3571,Tuxtla II,CP
CH57,18/08/2019,472.8849,12197,65,7.275152308,187.6462,Silao,GTO
CH58,18/08/2019,866.1301,47489,281,3.082313523,169,Chihuahua III,CHI
CH59,18/08/2019,845.305,44031,346,2.443078035,127.2572,Apodaca II,MTY
CH62,18/08/2019,625.158,30837,172,3.634639535,179.2849,Chili's Ciudadela,GDL
CH63,18/08/2019,936.8388,101865,515,1.819104466,197.7961,Galerías Celaya,GTO
CH64,18/08/2019,441.114,49826,277,1.592469314,179.8773,Chili's Plaza Aurora,MTY
WIN01,18/08/2019,810.253,65827,403,2.01055335,163.3424,Wing's Boulevard,CDMX
ELA01,18/08/2019,1528.588,180640,313,4.883667732,577.1246,Restaurante El Lago,CDMX
OLG01,18/08/2019,807.287,39288,169,4.776846154,232.4734,Olive Garden Reforma,CDMX
OLG02,18/08/2019,877.029,51606,238,3.684995798,216.8319,Olive Garden Santa Fe,CDMX
OLG03,18/08/2019,1468.5583,94759,446,3.292731614,212.4641,Olive Garden Cancún,YUC
OLG04,18/08/2019,1017.28,71953,299,3.402274247,240.6455,Olive Garden Querétaro,QRO
TCG01,18/08/2019,1096.081,60826,63,17.39811111,965.4921,The Capital Grille,CDMX
TCG02,18/08/2019,1576.107,32840,44,35.82061364,746.3636,The Capital Grille Mty,MTY
DT01,18/08/2019,872.903,35415,77,11.3364026,459.9351,Destilería Cancún,YUC
DT02,18/08/2019,437.097,27341,90,4.856633333,303.7889,Destilería Reforma,CDMX
CH01,19/08/2019,991.8676,28297,120,8.265563333,235.8083,Aguascalientes I,AGS
CH02,19/08/2019,669.567,26900,130,5.150515385,206.9231,Aguascalientes II,AGS
CH03,19/08/2019,1566.785,59991,271,5.781494465,221.369,Apodaca,MTY
CH04,19/08/2019,1222.4966,31855,142,8.609130986,224.331,Centro Magno,GDL
CH05,19/08/2019,963.5476,21086,96,10.03695417,219.6458,Chihuahua I,CHI
CH06,19/08/2019,698.273,20154,88,7.934920455,229.0227,Chihuahua II,CHI
CH07,19/08/2019,1462.044,44482,212,6.896433962,209.8208,Churubusco,MTY
CH08,19/08/2019,1180.109,27386,133,8.873,205.9098,Cintermex,MTY
CH09,19/08/2019,747.9156,12660,62,12.06315484,204.1935,Ciudad del Carmen,CAM
CH10,19/08/2019,1297.395,33179,134,9.682052239,247.6045,Contry,MTY
CH11,19/08/2019,828.2101,58803,244,3.394303689,240.9959,El Salto,GDL
CH12,19/08/2019,1186.0477,17921,72,16.47288472,248.9028,Forum Cancún,CUN
CH13,19/08/2019,804.3427,22494,118,6.816463559,190.6271,Forum Tepic,TEP
CH14,19/08/2019,1206.7251,26181,119,10.14054706,220.0084,Forum Tlaquepaque,GDL
CH15,19/08/2019,868.7226,29586,158,5.498244304,187.2532,Galerías Gdl,GDL
CH16,19/08/2019,1002.886,34792,168,5.969559524,207.0952,Galerías Mty,MTY
CH17,19/08/2019,617.1678,41200,188,3.282807447,219.1489,Puerto Vallarta,JAL
CH18,19/08/2019,798.9945,34479,175,4.565682857,197.0229,Gran Plaza,GDL
CH20,19/08/2019,950.776,47370,236,4.028711864,200.7203,León I,GTO
CH21,19/08/2019,778.9771,23752,114,6.833132456,208.3509,León II,GTO
CH22,19/08/2019,777.8285,33769,156,4.986080128,216.4679,León III,GTO
CH23,19/08/2019,1550.7739,67182,288,5.384631597,233.2708,Malecón Cancún,CUN
CH25,19/08/2019,475.984,20367,87,5.47108046,234.1034,Morelia,MIC
CH26,19/08/2019,1093.1677,68241,304,3.595946382,224.477,Plaza Andares,GDL
CH27,19/08/2019,387.1682,39927,186,2.081549462,214.6613,Plaza del Sol,GDL
CH28,19/08/2019,1373.418,25031,130,10.56475385,192.5462,Plaza La Rioja,MTY
CH29,19/08/2019,813.462,31294,143,5.688545455,218.8392,Plaza San Agustín,MTY
CH30,19/08/2019,1246.642,22279,95,13.12254737,234.5158,Reynosa,REY
CH31,19/08/2019,1014.913,19941,94,10.79694681,212.1383,Saltillo,SAL
CH32,19/08/2019,554.0813,10003,54,10.26076481,185.2407,San Luis Potosí I,SLP
CH33,19/08/2019,522.5328,33832,142,3.679808451,238.2535,San Luis Potosí II,SLP
CH35,19/08/2019,709.1276,15917,77,9.209449351,206.7143,Santa Anita,GDL
CH36,19/08/2019,1234.749,29409,140,8.819635714,210.0643,Sendero,MTY
CH38,19/08/2019,522.479,18393,90,5.805322222,204.3667,Tijuana II,TIJ
CH39,19/08/2019,886.5164,16436,85,10.42960471,193.3647,Torreón I,TOR
CH40,19/08/2019,1381.504,59218,283,4.881639576,209.2509,Torres,MTY
CH41,19/08/2019,1058.7113,25647,113,9.369126549,226.9646,Tuxtla Gutiérrez,CP
CH42,19/08/2019,978.6457,30819,137,7.14339927,224.9562,Xalapa Las Américas,VER
CH44,19/08/2019,1002.4024,21197,97,10.33404536,218.5258,Tampico,TAM
CH45,19/08/2019,832.5111,30548,137,6.076723358,222.9781,Torreón II,TOR
CH46,19/08/2019,1171.489,42220,210,5.578519048,201.0476,Anáhuac,MTY
CH47,19/08/2019,971.621,24811,130,7.474007692,190.8538,Avanta,MTY
CH49,19/08/2019,1263.91,32094,146,8.656917808,219.8219,Mérida,YUC
CH50,19/08/2019,1073.283,40637,202,5.313282178,201.1733,Mérida Altabrisa,YUC
CH51,19/08/2019,674.2593,47398,238,2.833022269,199.1513,Mérida Galerías,YUC
CH52,19/08/2019,1480.0095,18201,83,17.83143976,219.2892,Veracruz Boca del Río,VER
CH53,19/08/2019,1169.6515,25530,118,9.912300847,216.3559,Villahermosa,TAB
CH54,19/08/2019,1308.2823,19400,99,13.21497273,195.9596,Villahermosa II,TAB
CH55,19/08/2019,378.6882,17548,81,4.675162963,216.642,Tlaxcala,TLX
CH56,19/08/2019,726.967,26907,118,6.160737288,228.0254,Tuxtla II,CP
CH57,19/08/2019,773.5935,29543,118,6.555877119,250.3644,Silao,GTO
CH58,19/08/2019,752.4984,20068,93,8.091380645,215.7849,Chihuahua III,CHI
CH59,19/08/2019,806.052,15486,74,10.89259459,209.2703,Apodaca II,MTY
CH62,19/08/2019,452.135,6487,31,14.585,209.2581,Chili's Ciudadela,GDL
CH63,19/08/2019,638.0065,33523,153,4.169977124,219.1046,Galerías Celaya,GTO
CH64,19/08/2019,420.16,36770,175,2.400914286,210.1143,Chili's Plaza Aurora,MTY
WIN01,19/08/2019,802.025,44393,254,3.15757874,174.7756,Wing's Boulevard,CDMX
ELA01,19/08/2019,1291.805,26256,84,15.37863095,312.5714,Restaurante El Lago,CDMX
OLG01,19/08/2019,895.531,52373,208,4.3054375,251.7933,Olive Garden Reforma,CDMX
OLG02,19/08/2019,758.017,23016,123,6.162739837,187.122,Olive Garden Santa Fe,CDMX
OLG03,19/08/2019,1320.7793,40075,191,6.915074869,209.8168,Olive Garden Cancún,YUC
OLG04,19/08/2019,816.694,33674,138,5.918072464,244.0145,Olive Garden Querétaro,QRO
TCG01,19/08/2019,1314.951,126236,99,13.28233333,1275.1111,The Capital Grille,CDMX
TCG02,19/08/2019,1528.289,76951,66,23.15589394,1165.9242,The Capital Grille Mty,MTY
DT01,19/08/2019,818.984,48309,99,8.272565657,487.9697,Destilería Cancún,YUC
DT02,19/08/2019,584.228,46743,127,4.600220472,368.0551,Destilería Reforma,CDMX
CH01,20/08/2019,910.6189,35002,157,5.800120382,222.9427,Aguascalientes I,AGS
CH02,20/08/2019,675.0299,31933,148,4.561012838,215.7635,Aguascalientes II,AGS
CH03,20/08/2019,1541.342,88285,383,4.024391645,230.5091,Apodaca,MTY
CH04,20/08/2019,1269.6723,35662,183,6.9381,194.8743,Centro Magno,GDL
CH05,20/08/2019,855.7674,21606,104,8.228532692,207.75,Chihuahua I,CHI
CH06,20/08/2019,740.7486,29860,132,5.611731818,226.2121,Chihuahua II,CHI
CH07,20/08/2019,1419.606,60091,263,5.397741445,228.4829,Churubusco,MTY
CH08,20/08/2019,1143.569,48544,210,5.445566667,231.1619,Cintermex,MTY
CH09,20/08/2019,710.9592,15566,70,10.15656,222.3714,Ciudad del Carmen,CAM
CH10,20/08/2019,1265.285,36038,168,7.531458333,214.5119,Contry,MTY
CH11,20/08/2019,933.6968,61340,250,3.7347872,245.36,El Salto,GDL
CH12,20/08/2019,1096.5844,28807,107,10.24845234,269.2243,Forum Cancún,CUN
CH13,20/08/2019,749.821,25440,115,6.520182609,221.2174,Forum Tepic,TEP
CH14,20/08/2019,1131.6597,32191,145,7.804549655,222.0069,Forum Tlaquepaque,GDL
CH15,20/08/2019,866.8065,54833,247,3.509338057,221.996,Galerías Gdl,GDL
CH16,20/08/2019,987.924,39727,195,5.066276923,203.7282,Galerías Mty,MTY
CH17,20/08/2019,652.7178,47444,214,3.050083178,221.7009,Puerto Vallarta,JAL
CH18,20/08/2019,811.1125,36037,164,4.945807927,219.7378,Gran Plaza,GDL
CH20,20/08/2019,1036.6369,47041,221,4.690664706,212.8552,León I,GTO
CH21,20/08/2019,767.6649,31376,136,5.644594853,230.7059,León II,GTO
CH22,20/08/2019,715.9867,40402,182,3.933992857,221.989,León III,GTO
CH23,20/08/2019,1565.3972,69149,291,5.379371821,237.6254,Malecón Cancún,CUN
CH25,20/08/2019,458.7913,16179,69,6.649149275,234.4783,Morelia,MIC
CH26,20/08/2019,1024.3645,45268,205,4.9969,220.8195,Plaza Andares,GDL
CH27,20/08/2019,373.4614,46415,207,1.804161353,224.2271,Plaza del Sol,GDL
CH28,20/08/2019,1402.628,34859,159,8.821559748,219.239,Plaza La Rioja,MTY
CH29,20/08/2019,755.173,37634,169,4.46847929,222.6864,Plaza San Agustín,MTY
CH30,20/08/2019,1178.7738,19133,76,15.51018158,251.75,Reynosa,REY
CH31,20/08/2019,872.216,19611,92,9.480608696,213.163,Saltillo,SAL
CH32,20/08/2019,527.1623,13132,56,9.4136125,234.5,San Luis Potosí I,SLP
CH33,20/08/2019,543.6262,48708,226,2.405425664,215.5221,San Luis Potosí II,SLP
CH35,20/08/2019,601.0677,12838,53,11.3409,242.2264,Santa Anita,GDL
CH36,20/08/2019,1336.088,38170,185,7.222097297,206.3243,Sendero,MTY
CH38,20/08/2019,623.0799,23701,95,6.558735789,249.4842,Tijuana II,TIJ
CH39,20/08/2019,791.4113,31037,138,5.734864493,224.9058,Torreón I,TOR
CH40,20/08/2019,1300.271,61350,280,4.643825,219.1071,Torres,MTY
CH41,20/08/2019,1040.7114,23805,101,10.30407327,235.6931,Tuxtla Gutiérrez,CP
CH42,20/08/2019,1071.7434,48060,221,4.849517647,217.4661,Xalapa Las Américas,VER
CH44,20/08/2019,1023.8105,18792,91,11.25066484,206.5055,Tampico,TAM
CH45,20/08/2019,992.3804,31458,136,7.296914706,231.3088,Torreón II,TOR
CH46,20/08/2019,1349.634,54886,257,5.251494163,213.5642,Anáhuac,MTY
CH47,20/08/2019,878.42,28009,127,6.916692913,220.5433,Avanta,MTY
CH49,20/08/2019,1227.3281,34830,148,8.292757432,235.3378,Mérida,YUC
CH50,20/08/2019,1138.0056,38490,194,5.866008247,198.4021,Mérida Altabrisa,YUC
CH51,20/08/2019,536.0297,54074,254,2.11035315,212.8898,Mérida Galerías,YUC
CH52,20/08/2019,1249.3289,15808,71,17.59618169,222.6479,Veracruz Boca del Río,VER
CH53,20/08/2019,1305.3767,29960,135,9.669457037,221.9259,Villahermosa,TAB
CH54,20/08/2019,1266.7501,24307,104,12.18028942,233.7212,Villahermosa II,TAB
CH55,20/08/2019,435.8512,18223,77,5.660405195,236.6623,Tlaxcala,TLX
CH56,20/08/2019,755.0457,24203,106,7.123072642,228.3302,Tuxtla II,CP
CH57,20/08/2019,780.7703,44719,185,4.22038,241.7243,Silao,GTO
CH58,20/08/2019,728.0602,20433,83,8.771809639,246.1807,Chihuahua III,CHI
CH59,20/08/2019,719.538,29479,130,5.534907692,226.7615,Apodaca II,MTY
CH61,20/08/2019,861.603,40114,178,4.840466292,225.3596,MTY Nuevo Sur,MTY
CH62,20/08/2019,477.103,11556,60,7.951716667,192.6,Chili's Ciudadela,GDL
CH63,20/08/2019,673.8138,29035,137,4.918348905,211.9343,Galerías Celaya,GTO
CH64,20/08/2019,397.088,27997,116,3.423172414,241.3534,Chili's Plaza Aurora,MTY
WIN01,20/08/2019,814.025,48802,328,2.481783537,148.7866,Wing's Boulevard,CDMX
ELA01,20/08/2019,1727.906,33461,75,23.03874667,446.1467,Restaurante El Lago,CDMX
OLG01,20/08/2019,917.084,44098,175,5.24048,251.9886,Olive Garden Reforma,CDMX
OLG02,20/08/2019,795.097,29422,131,6.069442748,224.5954,Olive Garden Santa Fe,CDMX
OLG03,20/08/2019,1340.6918,57646,271,4.947202214,212.7159,Olive Garden Cancún,YUC
OLG04,20/08/2019,942.589,22628,98,9.618255102,230.898,Olive Garden Querétaro,QRO
TCG01,20/08/2019,1393.1,250212,218,6.390366972,1147.7615,The Capital Grille,CDMX
TCG02,20/08/2019,1844.079,71789,91,20.2646044,788.8901,The Capital Grille Mty,MTY
DT01,20/08/2019,757.77,53543,111,6.826756757,482.3694,Destilería Cancún,YUC
DT02,20/08/2019,598.165,47824,133,4.497481203,359.5789,Destilería Reforma,CDMX
CH01,21/08/2019,848.3702,37021,155,5.473356129,238.8452,Aguascalientes I,AGS
CH02,21/08/2019,835.547,28915,123,6.793065041,235.0813,Aguascalientes II,AGS
CH03,21/08/2019,1449.365,96914,405,3.578679012,239.2938,Apodaca,MTY
CH04,21/08/2019,764.4023,43888,191,4.002106283,229.7801,Centro Magno,GDL
CH05,21/08/2019,915.6399,37787,147,6.228842857,257.0544,Chihuahua I,CHI
CH06,21/08/2019,777.796,33117,150,5.185306667,220.78,Chihuahua II,CHI
CH07,21/08/2019,1382.617,49855,214,6.460827103,232.9673,Churubusco,MTY
CH08,21/08/2019,1172.692,55693,267,4.392104869,208.588,Cintermex,MTY
CH09,21/08/2019,957.9796,28177,128,7.484215625,220.1328,Ciudad del Carmen,CAM
CH10,21/08/2019,1299.535,50462,217,5.988640553,232.5438,Contry,MTY
CH11,21/08/2019,893.8279,69700,290,3.082165172,240.3448,El Salto,GDL
CH12,21/08/2019,1174.2247,34267,134,8.762870896,255.7239,Forum Cancún,CUN
CH13,21/08/2019,773.6783,29612,132,5.861199242,224.3333,Forum Tepic,TEP
CH14,21/08/2019,1198.7179,31463,145,8.26702,216.9862,Forum Tlaquepaque,GDL
CH15,21/08/2019,881.6915,54417,242,3.643353306,224.8636,Galerías Gdl,GDL
CH16,21/08/2019,1128.646,48679,211,5.349033175,230.7062,Galerías Mty,MTY
CH17,21/08/2019,644.5336,53033,229,2.814557205,231.5852,Puerto Vallarta,JAL
CH18,21/08/2019,883.6738,34334,160,5.52296125,214.5875,Gran Plaza,GDL
CH20,21/08/2019,913.7605,52703,238,3.839329832,221.4412,León I,GTO
CH21,21/08/2019,815.0425,28719,132,6.174564394,217.5682,León II,GTO
CH22,21/08/2019,730.4692,49294,221,3.305290498,223.0498,León III,GTO
CH23,21/08/2019,1570.5632,62930,262,5.994516031,240.1908,Malecón Cancún,CUN
CH25,21/08/2019,510.5458,21798,104,4.909094231,209.5962,Morelia,MIC
CH26,21/08/2019,1014.59,53213,246,4.124349593,216.313,Plaza Andares,GDL
CH27,21/08/2019,433.1749,39765,183,2.367075956,217.2951,Plaza del Sol,GDL
CH28,21/08/2019,1312.39,46324,217,6.047880184,213.4747,Plaza La Rioja,MTY
CH29,21/08/2019,842.271,32445,159,5.297301887,204.0566,Plaza San Agustín,MTY
CH30,21/08/2019,1154.3314,29144,123,9.38480813,236.9431,Reynosa,REY
CH31,21/08/2019,859.687,21814,90,9.552077778,242.3778,Saltillo,SAL
CH32,21/08/2019,528.2331,17218,72,7.336570833,239.1389,San Luis Potosí I,SLP
CH33,21/08/2019,561.7242,57064,228,2.463702632,250.2807,San Luis Potosí II,SLP
CH35,21/08/2019,662.7199,18021,84,7.889522619,214.5357,Santa Anita,GDL
CH36,21/08/2019,1306.092,32380,143,9.13351049,226.4336,Sendero,MTY
CH38,21/08/2019,608.0272,18769,86,7.070083721,218.2442,Tijuana II,TIJ
CH39,21/08/2019,969.0709,31109,144,6.729659028,216.0347,Torreón I,TOR
CH40,21/08/2019,1249.936,73992,324,3.85782716,228.3704,Torres,MTY
CH41,21/08/2019,1048.6903,26566,110,9.533548182,241.5091,Tuxtla Gutiérrez,CP
CH42,21/08/2019,1145.0057,51715,210,5.452408095,246.2619,Xalapa Las Américas,VER
CH44,21/08/2019,1136.8099,28366,113,10.0602646,251.0265,Tampico,TAM
CH45,21/08/2019,839.2815,29547,132,6.358193182,223.8409,Torreón II,TOR
CH46,21/08/2019,1181.987,67373,301,3.92686711,223.8306,Anáhuac,MTY
CH47,21/08/2019,886.372,32538,146,6.071041096,222.863,Avanta,MTY
CH49,21/08/2019,1186.2385,48709,222,5.343416667,219.4099,Mérida,YUC
CH50,21/08/2019,1303.8092,40467,201,6.486612935,201.3284,Mérida Altabrisa,YUC
CH51,21/08/2019,559.2584,70108,305,1.833634098,229.8623,Mérida Galerías,YUC
CH52,21/08/2019,1399.8126,22638,88,15.90696136,257.25,Veracruz Boca del Río,VER
CH53,21/08/2019,1267.2541,41060,162,7.822556173,253.4568,Villahermosa,TAB
CH54,21/08/2019,1285.3607,31565,141,9.116033333,223.8652,Villahermosa II,TAB
CH55,21/08/2019,494.7241,24500,97,5.100248454,252.5773,Tlaxcala,TLX
CH56,21/08/2019,834.3404,17571,73,11.42932055,240.6986,Tuxtla II,CP
CH57,21/08/2019,791.844,48130,202,3.920019802,238.2673,Silao,GTO
CH58,21/08/2019,751.2125,30953,127,5.915059055,243.7244,Chihuahua III,CHI
CH59,21/08/2019,782.751,23028,110,7.115918182,209.3455,Apodaca II,MTY
CH61,21/08/2019,1548.646,29672,133,11.64395489,223.0977,MTY Nuevo Sur,MTY
CH62,21/08/2019,479.425,13828,59,8.125847458,234.3729,Chili's Ciudadela,GDL
CH63,21/08/2019,762.8499,47545,218,3.499311468,218.0963,Galerías Celaya,GTO
CH64,21/08/2019,393.009,39891,173,2.271728324,230.5838,Chili's Plaza Aurora,MTY
WIN01,21/08/2019,830.528,54139,333,2.494078078,162.5796,Wing's Boulevard,CDMX
ELA01,21/08/2019,1559.241,40508,96,16.24209375,421.9583,Restaurante El Lago,CDMX
OLG01,21/08/2019,905.158,47076,184,4.919336957,255.8478,Olive Garden Reforma,CDMX
OLG02,21/08/2019,772.576,30933,140,5.5184,220.95,Olive Garden Santa Fe,CDMX
OLG03,21/08/2019,1342.1246,52801,272,4.934281618,194.1213,Olive Garden Cancún,YUC
OLG04,21/08/2019,878.723,32828,144,6.102243056,227.9722,Olive Garden Querétaro,QRO
TCG01,21/08/2019,1276.393,252244,242,5.27435124,1042.3306,The Capital Grille,CDMX
TCG02,21/08/2019,1698.069,64545,64,26.53232813,1008.5156,The Capital Grille Mty,MTY
DT01,21/08/2019,850.15,29910,74,11.48851351,404.1892,Destilería Cancún,YUC
DT02,21/08/2019,557.697,50267,184,3.030961957,273.1902,Destilería Reforma,CDMX
CH01,22/08/2019,907.1337,47000,227,3.9961837,207.0485,Aguascalientes I,AGS
CH02,22/08/2019,688.2122,38503,190,3.622169474,202.6474,Aguascalientes II,AGS
CH03,22/08/2019,1406.922,77896,340,4.138005882,229.1059,Apodaca,MTY
CH04,22/08/2019,795.516,34440,188,4.231468085,183.1915,Centro Magno,GDL
CH05,22/08/2019,990.0901,35889,166,5.964398193,216.1988,Chihuahua I,CHI
CH06,22/08/2019,807.91,33716,139,5.812302158,242.5612,Chihuahua II,CHI
CH07,22/08/2019,1383.278,75349,319,4.336294671,236.2038,Churubusco,MTY
CH08,22/08/2019,1101.929,73616,362,3.044002762,203.3591,Cintermex,MTY
CH09,22/08/2019,915.8028,22892,107,8.558904673,213.9439,Ciudad del Carmen,CAM
CH10,22/08/2019,1354.901,59242,305,4.442298361,194.2361,Contry,MTY
CH11,22/08/2019,275.8106,63174,270,1.021520741,233.9778,El Salto,GDL
CH12,22/08/2019,1347.001,44378,134,10.05224627,331.1791,Forum Cancún,CUN
CH13,22/08/2019,735.4585,32956,167,4.403943114,197.3413,Forum Tepic,TEP
CH14,22/08/2019,221.8992,36954,190,1.167890526,194.4947,Forum Tlaquepaque,GDL
CH15,22/08/2019,885.5881,45734,216,4.099944907,211.7315,Galerías Gdl,GDL
CH16,22/08/2019,995.573,58894,303,3.285719472,194.3696,Galerías Mty,MTY
CH17,22/08/2019,650.2885,49224,213,3.052997653,231.0986,Puerto Vallarta,JAL
CH18,22/08/2019,856.3358,33046,169,5.06707574,195.5385,Gran Plaza,GDL
CH20,22/08/2019,744.4674,64245,343,2.170458892,187.3032,León I,GTO
CH21,22/08/2019,791.5364,42215,234,3.382634188,180.406,León II,GTO
CH22,22/08/2019,818.9033,36595,177,4.626572316,206.7514,León III,GTO
CH23,22/08/2019,1371.6248,69632,328,4.181782927,212.2927,Malecón Cancún,CUN
CH25,22/08/2019,471.5481,31012,141,3.344312766,219.9433,Morelia,MIC
CH26,22/08/2019,1050.8647,57952,283,3.713302827,204.7774,Plaza Andares,GDL
CH27,22/08/2019,324.2067,43611,209,1.55122823,208.6651,Plaza del Sol,GDL
CH28,22/08/2019,1392.672,42881,222,6.273297297,193.1577,Plaza La Rioja,MTY
CH29,22/08/2019,783.419,40500,195,4.017533333,207.6923,Plaza San Agustín,MTY
CH30,22/08/2019,1258.2226,37582,151,8.3326,248.8874,Reynosa,REY
CH31,22/08/2019,202.143,18424,78,2.591576923,236.2051,Saltillo,SAL
CH32,22/08/2019,198.2761,23222,130,1.525200769,178.6308,San Luis Potosí I,SLP
CH33,22/08/2019,550.6402,51113,233,2.363262661,219.3691,San Luis Potosí II,SLP
